GVKEY,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcdq,datacqtr,datafqtr,cogsq,cshfdq,cshopq,cshoq,cshprq,epspiq,epspxq,invtq,lctq,lltq,piq,rectq,saleq,txtq,uopiq,xsgaq,capxy,cshfdy,cshpry,dvy,prcpy,txpdy,wcapchy,cik,costat,cshtrq,dvpspq,dvpsxq,prccq,prchq,prclq
001300,1980/03/31,1980,1,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,1980Q1,1980Q1,962.9730,,,33.1740,30.4230,2.0600,2.0600,631.5710,1017.2970,1671.6770,228.1870,754.0240,1384.2310,159.9050,,102.5610,,,30.4230,,,,,0000773840,A,7969997.0000,0.5000,0.5000,44.5000,61.3750,39.0000
001300,1980/06/30,1980,2,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,1980Q2,1980Q2,943.6510,,,33.3160,33.2390,2.0200,2.0200,617.1980,1198.3560,1604.3210,245.5200,754.8370,1364.0800,172.5570,,101.1760,,,31.8310,,,,,0000773840,A,3389699.0000,0.5500,0.5500,47.8750,52.7500,41.5000
001300,1980/09/30,1980,3,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,1980Q3,1980Q3,922.3860,,,33.4080,33.3490,1.8000,1.8000,614.5200,1171.9470,1602.0170,218.3450,740.7470,1322.3410,152.1170,,109.0570,,,32.3360,,,,,0000773840,A,4909799.0000,0.5500,0.5500,51.8750,56.5000,47.0000
001300,1980/12/31,1980,4,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,1980Q4,1980Q4,995.0090,,,33.4890,33.4330,2.2700,2.2700,601.0000,1182.0000,1692.0000,233.8750,785.0000,1447.8780,152.4740,,120.9650,,,32.6110,,,,,0000773840,A,6086099.0000,0.5500,0.5500,53.5000,61.7500,51.3750
001300,1981/03/31,1981,1,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,1981Q1,1981Q1,1117.0000,,,33.5540,33.5070,2.3300,2.3300,591.0000,1097.0000,1731.0000,244.0000,799.0000,1582.0000,160.0000,,120.0000,,,33.5070,,,,,0000773840,A,4974497.0000,0.5500,0.5500,52.3750,57.0000,46.8750
001300,1981/06/30,1981,2,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,1981Q2,1981Q2,1103.0000,,,33.7040,33.5990,2.4000,2.4000,604.0000,1184.0000,1775.0000,266.0000,789.0000,1585.0000,179.0000,,120.0000,,,33.5530,,,,,0000773840,A,5422498.0000,0.6000,0.6000,53.8750,58.6250,49.1250
001300,1981/09/30,1981,3,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,1981Q3,1981Q3,1080.0000,,,33.9120,33.9100,3.1500,3.1500,778.0000,1193.0000,1994.0000,324.0000,872.0000,1544.0000,206.0000,,131.0000,,,33.8290,,,,,0000773840,A,4162799.0000,0.6000,0.6000,41.6250,59.8750,39.0000
001300,1981/12/31,1981,4,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,1981Q4,1981Q4,1155.0000,,,33.7440,33.8770,1.2900,1.2900,841.0000,1373.0000,2071.0000,199.0000,933.0000,1696.0000,140.0000,,163.0000,,,33.8410,,,,,0000773840,A,3997998.0000,0.6000,0.6000,43.8750,48.3750,40.5000
001300,1982/03/31,1982,1,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,1982Q1,1982Q1,1157.0000,,,32.3940,33.0790,1.3800,1.3800,768.0000,1152.0000,2326.0000,195.0000,901.0000,1614.0000,132.0000,,166.0000,,,33.0790,,,,,0000773840,A,4377198.0000,0.6000,0.6000,32.5000,45.3750,32.3750
001300,1982/06/30,1982,2,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,1982Q2,1982Q2,1113.0000,,,32.6280,32.4920,2.0100,2.0100,716.0000,1218.0000,2089.0000,223.0000,904.0000,1595.0000,141.0000,,160.0000,,,32.7860,,,,,0000773840,A,3737200.0000,0.6000,0.6000,30.2500,37.5000,30.1250
